Rank;Full Journal Title;ISSN;Journal Impact Factor
11118;Acta Medica Portuguesa;1646-0758;0.304
10233;Journal of Baltic Science Education;1648-3898;0.479
9578;Transport;1648-4142;0.594
10337;Transformations in Business & Economics;1648-4460;0.462
9596;Journal of Environmental Engineering and Landscape Management;1648-6897;0.591
8583;International Journal of Strategic Property Management;1648-715X;0.776
9695;Lithuanian Journal of Physics;1648-8504;0.574
5042;JOURNAL OF REHABILITATION MEDICINE;1650-1977;1.595
3500;COGNITIVE BEHAVIOUR THERAPY;1650-6073;2.129
11062;Ethics & Global Politics;1654-4951;0.316
1701;Food & Nutrition Research;1654-6628;3.226
4679;Global Health Action;1654-9880;1.712
4679;Global Health Action;1654-9880;1.712
11448;Universitas Psychologica;1657-9267;0.226
8093;Colombia Medica;1657-9534;0.873
5496;NEPHRON CLINICAL PRACTICE;1660-2110;1.471
5287;NEPHRON EXPERIMENTAL NEPHROLOGY;1660-2129;1.531
5163;NEPHRON PHYSIOLOGY;1660-2137;1.562
2026;Neurodegenerative Diseases;1660-2854;2.937
1587;Marine Drugs;1660-3397;3.345
3415;TRANSFUSION MEDICINE AND HEMOTHERAPY;1660-3796;2.160
3744;International Journal of Environmental Research and Public Health;1660-4601;2.035
9554;Mediterranean Journal of Mathematics;1660-5446;0.599
2719;SKIN PHARMACOLOGY AND PHYSIOLOGY;1660-5527;2.488
11997;NEPHRON;1660-8151;Not Available
4876;Breast Care;1661-3791;1.645
9627;Zeitschrift fur Psychiatrie Psychologie und Psychotherapie;1661-4747;0.585
3405;Sexual Development;1661-5425;2.164
10658;Journal fur Verbraucherschutz und Lebensmittelsicherheit-Journal of Consumer Protection and Food Safety;1661-5751;0.402
5435;Journal of Nutrigenetics and Nutrigenomics;1661-6499;1.488
9273;Journal of Noncommutative Geometry;1661-6952;0.649
9815;Groups Geometry and Dynamics;1661-7207;0.553
9892;Journal of Fixed Point Theory and Applications;1661-7738;0.540
2301;Neonatology;1661-7800;2.754
9196;Complex Analysis and Operator Theory;1661-8254;0.663
2301;International Journal of Public Health;1661-8556;2.754
2301;International Journal of Public Health;1661-8556;2.754
4825;Swiss Journal of Geosciences;1661-8726;1.660
2905;Obesity Facts;1662-4025;2.400
5267;Public Health Genomics;1662-4246;1.535
5267;Public Health Genomics;1662-4246;1.535
1540;Frontiers in Neuroscience;1662-453X;3.398
648;Frontiers in Molecular Neuroscience;1662-5099;5.154
818;Frontiers in Cellular Neuroscience;1662-5102;4.609
1171;Frontiers in Neural Circuits;1662-5110;3.879
1665;Frontiers in Neuroanatomy;1662-5129;3.260
1543;Frontiers in Behavioral Neuroscience;1662-5153;3.392
1349;Frontiers in Human Neuroscience;1662-5161;3.634
2445;Frontiers in Computational Neuroscience;1662-5188;2.653
1893;Frontiers in Neuroinformatics;1662-5196;3.047
4639;Frontiers in Neurorobotics;1662-5218;1.723
10829;Journal of Nano Research;1662-5250;0.366
972;Journal of Innate Immunity;1662-811X;4.273
10430;Journal of Pseudo-Differential Operators and Applications;1662-9981;0.444
4821;Hormone Research in Paediatrics;1663-2818;1.661
933;Frontiers in Aging Neuroscience;1663-4365;4.348
11619;Agrarforschung Schweiz;1663-7852;0.182
904;Frontiers in Pharmacology;1663-9812;4.418
8129;Journal of Spectral Theory;1664-039X;0.868
1075;Frontiers in Physiology;1664-042X;4.031
2770;Frontiers in Psychology;1664-1078;2.463
4876;Alpine Botany;1664-2201;1.645
1752;Frontiers in Neurology;1664-2295;3.184
9636;Analysis and Mathematical Physics;1664-2368;0.583
1015;Frontiers in Microbiology;1664-302X;4.165
512;Frontiers in Immunology;1664-3224;5.695
6595;Bulletin of Mathematical Sciences;1664-3607;1.194
4718;CardioRenal Medicine;1664-3828;1.695
870;Frontiers in Plant Science;1664-462X;4.495
11407;POLITICA Y GOBIERNO;1665-2037;0.235
11737;Economia Mexicana-Nueva Epoca;1665-2045;0.143
11171;Revista Latinoamericana de Investigacion en Matematica Educativa-RELIME;1665-2436;0.292
4329;Annals of Hepatology;1665-2681;1.816
7837;Revista Mexicana de Ingenieria Quimica;1665-2738;0.924
10897;Icelandic Agricultural Sciences;1670-567X;0.353
8777;China & World Economy;1671-2234;0.740
8377;Earthquake Engineering and Engineering Vibration;1671-3664;0.814
1769;ACTA PHARMACOLOGICA SINICA;1671-4083;3.166
5799;Journal of Geriatric Cardiology;1671-5411;1.393
4075;Chinese Optics Letters;1671-7694;1.899
6422;Chinese Journal of Integrative Medicine;1672-0415;1.234
8264;Journal of Huazhong University of Science and Technology-Medical Sciences;1672-0733;0.838
7943;Petroleum Science;1672-5107;0.901
10062;Journal of Ocean University of China;1672-5182;0.509
7371;Journal of Mountain Science;1672-6316;1.017
10892;China Foundry;1672-6421;0.354
5516;Journal of Bionic Engineering;1672-6529;1.466
639;Cellular & Molecular Immunology;1672-7681;5.193
8436;Applied Geophysics;1672-7975;0.804
1315;Journal of Integrative Plant Biology;1672-9072;3.670
3521;ACTA BIOCHIMICA ET BIOPHYSICA SINICA;1672-9145;2.124
2609;Insect Science;1672-9609;2.551
6132;Journal of Zhejiang University-SCIENCE B;1673-1581;1.303
10430;Frontiers of Mathematics in China;1673-3452;0.444
7634;Neural Regeneration Research;1673-5374;0.968
10531;China Communications;1673-5447;0.424
7755;Journal of Zhejiang University-SCIENCE A;1673-565X;0.941
3061;Neuroscience Bulletin;1673-7067;2.322
1105;Journal of Genetics and Genomics;1673-8527;3.981
10146;CHINESE JOURNAL OF CHEMICAL PHYSICS;1674-0068;0.496
5638;Chinese Physics B;1674-1056;1.436
1251;Chinese Physics C;1674-1137;3.761
3140;Particuology;1674-2001;2.280
349;Molecular Plant;1674-2052;7.142
400;Journal of Molecular Cell Biology;1674-2788;6.459
2529;International Journal of Oral Science;1674-2818;2.595
6174;Research in Astronomy and Astrophysics;1674-4527;1.292
8040;International Journal of Minerals Metallurgy and Materials;1674-4799;0.882
7712;Journal of Earth Science;1674-487X;0.953
6847;Journal of Systematics and Evolution;1674-4918;1.134
4513;Current Zoology;1674-5507;1.758
5494;Journal of Arid Land;1674-6767;1.472
8670;Science China-Mathematics;1674-7283;0.761
2850;Science China-Chemistry;1674-7291;2.429
3107;Science China-Life Sciences;1674-7305;2.297
4839;Science China-Earth Sciences;1674-7313;1.655
5617;Science China-Technological Sciences;1674-7321;1.441
8028;Science China-Information Sciences;1674-733X;0.885
5116;Science China-Physics Mechanics & Astronomy;1674-7348;1.575
1210;Protein & Cell;1674-800X;3.817
9810;BIOTA NEOTROPICA;1676-0603;0.555
11434;Semina-Ciencias Agrarias;1676-546X;0.229
8653;GENETICS AND MOLECULAR RESEARCH;1676-5680;0.764
8113;International Braz J Urol;1677-5538;0.871
11568;Acta Scientiae Veterinariae;1678-0345;0.198
10189;BRAGANTIA;1678-4499;0.486
7655;Journal of the Brazilian Society of Mechanical Sciences and Engineering;1678-5878;0.963
11136;BULLETIN OF THE BRAZILIAN MATHEMATICAL SOCIETY;1678-7544;0.300
6919;Journal of Applied Oral Science;1678-7757;1.117
5435;JOURNAL OF VENOMOUS ANIMALS AND TOXINS INCLUDING TROPICAL DISEASES;1678-9199;1.488
7435;Natureza & Conservacao;1679-0073;1.000
7874;Neotropical Ichthyology;1679-6225;0.917
8308;Latin American Journal of Solids and Structures;1679-7825;0.830
9425;BRAZILIAN JOURNAL OF OCEANOGRAPHY;1679-8759;0.621
9915;China Review-An Interdisciplinary Journal on Greater China;1680-2012;0.536
9815;European Political Science;1680-4333;0.553
9303;African Health Sciences;1680-6905;0.642
8369;Journal of Agricultural Science and Technology;1680-7073;0.816
658;ATMOSPHERIC CHEMISTRY AND PHYSICS;1680-7316;5.114
2922;Aerosol and Air Quality Research;1680-8584;2.393
8960;AFRICAN INVERTEBRATES;1681-5556;0.708
9864;Pakistan Journal of Medical Sciences;1682-024X;0.544
7700;Journal of Nursing Research;1682-3141;0.955
7700;Journal of Nursing Research;1682-3141;0.955
11079;Education as Change;1682-3206;0.313
9927;European Surgery-Acta Chirurgica Austriaca;1682-8631;0.533
10013;International Arab Journal of Information Technology;1683-3198;0.519
8917;Applied and Computational Mathematics;1683-3511;0.717
2010;JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION;1684-1182;2.955
9384;Quality Technology and Quantitative Management;1684-3703;0.627
10793;Lexikos;1684-4904;0.373
9384;EURASIP Journal on Wireless Communications and Networking;1687-1499;0.627
11151;Advances in Difference Equations;1687-1847;0.297
9292;Arab Journal of Gastroenterology;1687-1979;0.644
9303;Boundary Value Problems;1687-2770;0.642
4513;Journal of Nanomaterials;1687-4110;1.758
8469;EURASIP Journal on Audio Speech and Music Processing;1687-4722;0.797
2029;PPAR Research;1687-4757;2.935
10504;Computational Intelligence and Neuroscience;1687-5265;0.430
7172;EURASIP Journal on Image and Video Processing;1687-5281;1.060
8730;International Journal of Antennas and Propagation;1687-5869;0.750
8002;International Journal of Aerospace Engineering;1687-5966;0.889
8400;Science and Technology of Nuclear Installations;1687-6075;0.811
4568;Gastroenterology Research and Practice;1687-6121;1.742
7823;EURASIP Journal on Advances in Signal Processing;1687-6180;0.928
8942;Journal of Sensors;1687-725X;0.712
4250;Advances in High Energy Physics;1687-7357;1.839
8400;Advances in Astronomy;1687-7969;0.811
7803;Advances in Condensed Matter Physics;1687-8108;0.932
9312;Advances in Mechanical Engineering;1687-8140;0.640
2958;International Journal of Endocrinology;1687-8337;2.376
7404;Advances in Materials Science and Engineering;1687-8434;1.010
8902;International Journal of Analytical Chemistry;1687-8760;0.719
8530;Advances in Mathematical Physics;1687-9120;0.787
6968;Advances in Meteorology;1687-9309;1.107
7435;International Journal of Polymer Science;1687-9422;1.000
1305;Stem Cells International;1687-966X;3.687
5710;Journal of Contemporary Brachytherapy;1689-832X;1.413
11344;Boletin de Malariologia y Salud Ambiental;1690-4648;0.250
8597;ANALES DE PEDIATRIA;1695-4033;0.773
7186;GEOLOGICA ACTA;1695-6133;1.056
8680;SPANISH JOURNAL OF AGRICULTURAL RESEARCH;1695-971X;0.760
10707;AIBR-Revista de Antropologia Iberoamericana;1695-9752;0.391
10596;SORT-Statistics and Operations Research Transactions;1696-2281;0.414
11344;VIAL-Vigo International Journal of Applied Linguistics;1697-0381;0.250
3280;International Journal of Clinical and Health Psychology;1697-2600;2.217
11718;Porta Linguarum;1697-7467;0.149
10258;Revista Iberoamericana de Automatica e Informatica Industrial;1697-7912;0.475
11395;Revista Internacional de Andrologia;1698-031X;0.238
4297;JOURNAL OF IBERIAN GEOLOGY;1698-6180;1.827
7061;Medicina Oral Patologia Oral y Cirugia Bucal;1698-6946;1.087
3639;Clinical & Translational Oncology;1699-048X;2.075
6630;DRUGS OF TODAY;1699-3993;1.186
10722;ITEA-Informacion Tecnica Economica Agraria;1699-6887;0.389
8242;International Journal of Numerical Analysis and Modeling;1705-5105;0.844
9016;CANADIAN JOURNAL OF CRIMINOLOGY AND CRIMINAL JUSTICE;1707-7753;0.698
2106;ECOLOGY AND SOCIETY;1708-3087;2.890
2106;ECOLOGY AND SOCIETY;1708-3087;2.890
9472;Vascular;1708-5381;0.612
7329;World Journal of Pediatrics;1708-8569;1.025
3137;Allergy Asthma and Clinical Immunology;1710-1484;2.283
3127;Dermatitis;1710-3568;2.287
5485;Avian Conservation and Ecology;1712-6568;1.474
7514;Canadian Journal of Infectious Diseases & Medical Microbiology;1712-9532;0.991
10226;Contributions to Discrete Mathematics;1715-0868;0.480
9099;Island Studies Journal;1715-2593;0.683
4050;Applied Physiology Nutrition and Metabolism;1715-5312;1.910
3848;JOURNAL OF ENDOCRINOLOGICAL INVESTIGATION;1720-8386;1.994
4979;Italian Journal of Pediatrics;1720-8424;1.614
9936;European Journal of Inflammation;1721-727X;0.532
7114;BULLETIN OF INSECTOLOGY;1721-8861;1.075
11551;AGRO FOOD INDUSTRY HI-TECH;1722-6996;0.202
5352;Blood Transfusion;1723-2007;1.514
47;World Psychiatry;1723-8617;20.205
47;World Psychiatry;1723-8617;20.205
1183;Journal of Environmental Informatics;1726-2135;3.857
1292;Biogeosciences;1726-4170;3.700
4763;International Journal of Simulation Modelling;1726-4529;1.683
7390;Journal of the Chinese Medical Association;1726-4901;1.013
11927;Acta Bioethica;1726-569X;0.051
11927;Acta Bioethica;1726-569X;0.051
8316;JOURNAL OF MECHANICS;1727-7191;0.828
11665;Iranian Journal of Veterinary Research;1728-1997;0.167
11100;Iranian Journal of Biotechnology;1728-3043;0.309
11281;Journal of Exercise Science & Fitness;1728-869X;0.267
10536;Sahara J-Journal of Social Aspects of HIV-AIDS;1729-0376;0.423
9459;International Journal of Advanced Robotic Systems;1729-8806;0.615
10013;OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES;1730-413X;0.519
5206;Hereditary Cancer in Clinical Practice;1731-2302;1.550
8730;Polish Journal of Microbiology;1733-1331;0.750
6239;Central European Journal of Energetic Materials;1733-7178;1.280
3198;Pharmacological Reports;1734-1140;2.251
4340;Archives of Medical Science;1734-1922;1.812
10870;Postepy w Kardiologii Interwencyjnej;1734-9338;0.358
5937;Iranian Journal of Pharmaceutical Research;1735-0328;1.352
10803;International Journal of Civil Engineering;1735-0522;0.372
10755;Iranian Journal of Fuzzy Systems;1735-0654;0.381
10463;Iranian Journal of Radiology;1735-1065;0.438
8796;Urology Journal;1735-1308;0.737
8769;Iranian Journal of Immunology;1735-1383;0.741
3994;Hepatitis Monthly;1735-143X;1.932
3009;International Journal of Environmental Science and Technology;1735-1472;2.344
6919;Iranian Journal of Allergy Asthma and Immunology;1735-1502;1.117
3140;Iranian Journal of Environmental Health Science & Engineering;1735-1979;2.280
8393;Journal of Research in Medical Sciences;1735-1995;0.812
6139;Journal of the Iranian Chemical Society;1735-207X;1.300
8012;Journal of Applied Fluid Mechanics;1735-3572;0.888
7132;International Journal of Plant Production;1735-6814;1.069
7511;International Journal of Environmental Research;1735-6865;0.992
9084;Iranian Journal of Parasitology;1735-7020;0.686
11204;Bulletin of the Iranian Mathematical Society;1735-8515;0.283
6821;Iranian Journal of Kidney Diseases;1735-8582;1.140
8451;Banach Journal of Mathematical Analysis;1735-8787;0.800
8819;Estonian Journal of Earth Sciences;1736-4728;0.732
9632;Proceedings of the Estonian Academy of Sciences;1736-6046;0.584
5400;Clinical Psychopharmacology and Neuroscience;1738-1088;1.500
6831;Smart Structures and Systems;1738-1584;1.138
9247;Journal of the Korean Society for Applied Biological Chemistry;1738-2203;0.655
9287;ENTOMOLOGICAL RESEARCH;1738-2297;0.646
7755;Tissue Engineering and Regenerative Medicine;1738-2696;0.941
5400;Psychiatry Investigation;1738-3684;1.500
5400;Psychiatry Investigation;1738-3684;1.500
8670;Journal of Mechanical Science and Technology;1738-494X;0.761
10091;Ocean Science Journal;1738-5261;0.500
8972;Korean Circulation Journal;1738-5520;0.706
8496;Nuclear Engineering and Technology;1738-5733;0.792
6403;Molecular & Cellular Toxicology;1738-642X;1.240
4132;Journal of Clinical Neurology;1738-6586;1.876
4212;Journal of Breast Cancer;1738-6756;1.854
3681;Electronic Materials Letters;1738-8090;2.057
5905;Korean Journal of Metals and Materials;1738-8228;1.360
11761;KEDI Journal of Educational Policy;1739-4341;0.133
9843;Journal of Global History;1740-0228;0.548
3560;Body Image;1740-1445;2.104
5899;Journal of Empirical Legal Studies;1740-1453;1.362
33;NATURE REVIEWS MICROBIOLOGY;1740-1526;24.727
1372;Clinical & Developmental Immunology;1740-2522;3.603
10762;Journal of Moral Philosophy;1740-4681;0.379
4541;European Management Review;1740-4754;1.750
8496;European Journal of Developmental Psychology;1740-5629;0.792
10771;Critical Discourse Studies;1740-5904;0.377
4198;Clinical Trials;1740-7745;1.858
1446;Maternal and Child Nutrition;1740-8695;3.505
2322;Management and Organization Review;1740-8776;2.738
5805;Physical Education and Sport Pedagogy;1740-8989;1.390
2981;PROTEIN ENGINEERING DESIGN & SELECTION;1741-0126;2.364
7435;Personalized Medicine;1741-0541;1.000
6443;International Journal of Web and Grid Services;1741-1106;1.229
7700;Journal of Policy and Practice in Intellectual Disabilities;1741-1122;0.955
9046;Educational Management Administration & Leadership;1741-1432;0.692
1460;Journal of Neural Engineering;1741-2560;3.493
3785;JOURNAL OF PUBLIC HEALTH;1741-3842;2.019
3785;JOURNAL OF PUBLIC HEALTH;1741-3842;2.019
3995;Evidence-based Complementary and Alternative Medicine;1741-427X;1.931
7992;Literacy;1741-4350;0.892
7902;INVERSE PROBLEMS IN SCIENCE AND ENGINEERING;1741-5977;0.911
7736;Journal of Sulfur Chemistry;1741-5993;0.945
10189;Crime Media Culture;1741-6590;0.486
365;BMC BIOLOGY;1741-7007;6.967
281;BMC Medicine;1741-7015;8.005
9241;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-WATER MANAGEMENT;1741-7589;0.656
11211;PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MARITIME ENGINEERING;1741-7597;0.281
7148;Du Bois Review-Social Science Research on Race;1742-058X;1.065
5645;RENEWABLE AGRICULTURE AND FOOD SYSTEMS;1742-1705;1.435
8362;Spatial Economic Analysis;1742-1772;0.818
2190;Molecular BioSystems;1742-206X;2.829
802;Journal of Neuroinflammation;1742-2094;4.667
8804;Journal of Geophysics and Engineering;1742-2132;0.736
6521;Digital Investigation;1742-2876;1.211
987;FEBS Journal;1742-464X;4.237
7296;Theoretical Biology and Medical Modelling;1742-4682;1.033
1097;Retrovirology;1742-4690;3.989
3744;Reproductive Health;1742-4755;2.035
3744;Reproductive Health;1742-4755;2.035
2532;International Wound Journal;1742-4801;2.594
2369;Immunity & Ageing;1742-4933;2.708
576;Expert Opinion on Drug Delivery;1742-5247;5.434
2524;Expert Opinion on Drug Metabolism & Toxicology;1742-5255;2.598
3589;JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT;1742-5468;2.091
1208;Journal of the Royal Society Interface;1742-5689;3.818
5708;AIDS Research and Therapy;1742-6405;1.414
6468;Emergency Medicine Australasia;1742-6731;1.223
462;Acta Biomaterialia;1742-7061;6.008
6704;Leadership;1742-7150;1.167
11434;International Journal of Economic Theory;1742-7355;0.229
10021;INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE;1742-7584;0.518
1839;BASIC & CLINICAL PHARMACOLOGY & TOXICOLOGY;1742-7835;3.097
10356;Japan Journal of Nursing Science;1742-7932;0.458
10356;Japan Journal of Nursing Science;1742-7932;0.458
5845;International Journal of Exergy;1742-8297;1.377
6611;Journal of Plant Interactions;1742-9145;1.191
1905;Frontiers in Zoology;1742-9994;3.042
2870;Journal of NeuroEngineering and Rehabilitation;1743-0003;2.419
6009;Archives of Disease in Childhood-Education and Practice Edition;1743-0585;1.333
2987;Virology Journal;1743-422X;2.362
4499;Expert Review of Medical Devices;1743-4440;1.762
289;Nanotoxicology;1743-5390;7.913
718;Nanomedicine;1743-5889;4.889
2171;Journal of Sexual Medicine;1743-6095;2.844
6723;Advances in Applied Ceramics;1743-6753;1.162
1648;Nutrition & Metabolism;1743-7075;3.280
226;Health Psychology Review;1743-7199;8.976
4645;Asia-Pacific Journal of Clinical Oncology;1743-7555;1.722
10173;International Journal of Ad Hoc and Ubiquitous Computing;1743-8225;0.489
10246;Foreign Policy Analysis;1743-8586;0.477
244;Particle and Fibre Toxicology;1743-8977;8.649
4835;International Journal of Surgery;1743-9191;1.657
7332;Politics & Gender;1743-923X;1.024
7435;JOURNAL OF THE ENERGY INSTITUTE;1743-9671;1.000
4053;Journal of Positive Psychology;1743-9760;1.909
4696;Learning Media and Technology;1743-9884;1.702
3191;Comparative Biochemistry and Physiology D-Genomics & Proteomics;1744-117X;2.254
7023;Health Economics Policy and Law;1744-1331;1.095
7766;Journal of Institutional Economics;1744-1374;0.939
2235;Seminars in Fetal & Neonatal Medicine;1744-165X;2.800
3884;Global Public Health;1744-1692;1.978
7755;Asian Population Studies;1744-1730;0.941
11574;International Journal of Heavy Vehicle Systems;1744-232X;0.195
9371;Stochastics-An International Journal of Probability and Stochastic Reports;1744-2508;0.630
7435;Journal of Building Physics;1744-2591;1.000
7186;Evidence & Policy;1744-2648;1.056
6681;International Journal of Immunogenetics;1744-3121;1.174
6738;Complementary Therapies in Clinical Practice;1744-3881;1.158
176;Molecular Systems Biology;1744-4292;10.581
8509;Ships and Offshore Structures;1744-5302;0.790
5645;Journal of Maps;1744-5647;1.435
5645;Journal of Maps;1744-5647;1.435
8847;Journal of Competition Law & Economics;1744-6414;0.728
11312;Journal of Credit Risk;1744-6619;0.258
2525;Expert Review of Clinical Immunology;1744-666X;2.596
9683;Journal of Operational Risk;1744-6740;0.576
1220;Soft Matter;1744-683X;3.798
2150;Pharmacogenetics and Genomics;1744-6872;2.857
8353;GRASSLAND SCIENCE;1744-6961;0.820
1871;Molecular Pain;1744-8069;3.070
5719;Annals of General Psychiatry;1744-859X;1.411
5719;Annals of General Psychiatry;1744-859X;1.411
2628;Globalization and Health;1744-8603;2.540
2628;Globalization and Health;1744-8603;2.540
4655;Behavioral and Brain Functions;1744-9081;1.720
2201;Biology Letters;1744-9561;2.823
5471;THERAPEUTIC APHERESIS AND DIALYSIS;1744-9979;1.477
5139;Mobilities;1745-0101;1.569
6069;ARCHIVES OF ANIMAL NUTRITION;1745-039X;1.319
4863;Marine Biology Research;1745-1000;1.649
11402;IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES;1745-1337;0.236
10951;IEICE TRANSACTIONS ON ELECTRONICS;1745-1353;0.344
11448;IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS;1745-1361;0.226
57;Nature Physics;1745-2473;18.791
2503;Acta Orthopaedica;1745-3674;2.617
7166;Waves in Random and Complex Media;1745-5030;1.061
5933;Geographical Research;1745-5863;1.353
1948;Biology Direct;1745-6150;3.016
4193;Trials;1745-6215;1.859
5447;Journal of Occupational Medicine and Toxicology;1745-6673;1.486
305;Perspectives on Psychological Science;1745-6916;7.658
8012;International Journal of Injury Control and Safety Promotion;1745-7300;0.888
8295;Journal of Experimental Nanoscience;1745-8080;0.832
4409;BioSocieties;1745-8552;1.789
11044;Journal of Mathematics and Music;1745-9737;0.320
1467;Expert Opinion on Drug Discovery;1746-0441;3.484
10062;International Journal of Osteopathic Medicine;1746-0689;0.509
2520;Regenerative Medicine;1746-0751;2.602
8020;Future Virology;1746-0794;0.886
1344;Future Microbiology;1746-0913;3.637
4418;European Journal of Sport Science;1746-1391;1.785
4081;Diagnostic Pathology;1746-1596;1.895
7883;Head & Face Medicine;1746-160X;0.916
2878;Journal of Ethnobiology and Ethnomedicine;1746-4269;2.414
1492;Plant Methods;1746-4811;3.449
10364;Baltic Journal of Management;1746-5265;0.457
4882;BMC Veterinary Research;1746-6148;1.643
918;Current Opinion in HIV and AIDS;1746-630X;4.378
5326;Biomedical Signal Processing and Control;1746-8094;1.521
8758;British Politics;1746-918X;0.744
3497;QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY;1747-0218;2.130
3497;QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY;1747-0218;2.130
2232;Chemical Biology & Drug Design;1747-0277;2.802
6532;Congenital Heart Disease;1747-079X;1.210
2270;Social Neuroscience;1747-0919;2.778
3144;Cell Division;1747-1028;2.278
2826;Expert Review of Hematology;1747-4086;2.439
2242;Expert Review of Gastroenterology & Hepatology;1747-4124;2.796
1901;International Journal of Stroke;1747-4930;3.044
9209;JOURNAL OF CHEMICAL RESEARCH;1747-5198;0.661
4674;Substance Abuse Treatment Prevention and Policy;1747-597X;1.713
11281;Gender and Language;1747-6321;0.267
3370;Expert Review of Respiratory Medicine;1747-6348;2.176
7974;WATER AND ENVIRONMENT JOURNAL;1747-6585;0.895
10313;Complex Variables and Elliptic Equations;1747-6933;0.466
6717;Journal of Simulation;1747-7778;1.164
7729;Environmental Hazards-Human and Policy Dimensions;1747-7891;0.947
1179;Educational Research Review;1747-938X;3.860
10013;International Journal of Sports Science & Coaching;1747-9541;0.519
7120;Proceedings of the Institution of Mechanical Engineers Part O-Journal of Risk and Reliability;1748-006X;1.073
120;Nano Today;1748-0132;13.157
6107;Journal of Instrumentation;1748-0221;1.310
9501;International Communication Gazette;1748-0485;0.608
10091;International Journal of Mining Reclamation and Environment;1748-0930;0.500
10381;International Journal of Sensor Networks;1748-1279;0.454
1053;Acta Physiologica;1748-1708;4.066
7148;International Journal of Qualitative Studies on Health and Well-Being;1748-2623;1.065
2104;Bioinspiration & Biomimetics;1748-3182;2.891
15;Nature Nanotechnology;1748-3387;35.267
9960;International Journal of Data Mining and Bioinformatics;1748-5673;0.528
1726;Implementation Science;1748-5908;3.201
1726;Implementation Science;1748-5908;3.201
2343;Regulation & Governance;1748-5983;2.724
1573;Biomedical Materials;1748-6041;3.361
1425;Journal of Neuropsychology;1748-6645;3.537
1425;Journal of Neuropsychology;1748-6645;3.537
8016;Computational and Mathematical Methods in Medicine;1748-670X;0.887
4565;Journal of Plastic Reconstructive and Aesthetic Surgery;1748-6815;1.743
2762;Radiation Oncology;1748-717X;2.466
5623;Algorithms for Molecular Biology;1748-7188;1.439
11051;Journal of Economic Policy Reform;1748-7870;0.318
10265;AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY;1748-8842;0.474
11489;International Journal of Speech Language and the Law;1748-8885;0.217
8717;Criminology & Criminal Justice;1748-8958;0.754
1030;Environmental Research Letters;1748-9326;4.134
4057;Human Cell;1749-0774;1.907
2488;CLINICAL OTOLARYNGOLOGY;1749-4478;2.627
928;Fungal Biology Reviews;1749-4613;4.357
4645;Integrative Zoology;1749-4877;1.722
22;Nature Photonics;1749-4885;31.167
660;Social Cognitive and Affective Neuroscience;1749-5016;5.101
660;Social Cognitive and Affective Neuroscience;1749-5016;5.101
3928;International Political Sociology;1749-5679;1.955
10453;International Journal of Surface Science and Engineering;1749-785X;0.440
5081;World Journal of Emergency Surgery;1749-7922;1.583
6504;Journal of Orthopaedic Surgery and Research;1749-799X;1.215
7280;Journal of Cardiothoracic Surgery;1749-8090;1.036
1913;Neural Development;1749-8104;3.038
5095;Chinese Medicine;1749-8546;1.580
7907;Cultural Sociology;1749-9755;0.909
8878;Micro & Nano Letters;1750-0443;0.723
1640;Orphanet Journal of Rare Diseases;1750-1172;3.290
397;Molecular Neurodegeneration;1750-1326;6.510
1064;Epigenomics;1750-1911;4.044
2956;Influenza and Other Respiratory Viruses;1750-2640;2.378
11062;Interpreter and Translator Trainer;1750-399X;0.316
9870;Negotiation and Conflict Management Research;1750-4708;0.543
10413;Discourse & Communication;1750-4813;0.447
1054;International Journal of Greenhouse Gas Control;1750-5836;4.064
10762;Chinese Management Studies;1750-614X;0.379
1450;Review of Environmental Economics and Policy;1750-6816;3.500
9885;Memory Studies;1750-6980;0.541
3613;Immunotherapy;1750-743X;2.083
11146;BRITISH JOURNAL OF HOSPITAL MEDICINE;1750-8460;0.298
5282;Critical Studies in Education;1750-8487;1.532
1645;Child Development Perspectives;1750-8592;3.284
5046;Chinese Journal of International Politics;1750-8916;1.594
4662;Infectious Agents and Cancer;1750-9378;1.718
6078;Research in Autism Spectrum Disorders;1750-9467;1.317
1310;International Review of Sport and Exercise Psychology;1750-984X;3.682
2964;Journal of Informetrics;1751-1577;2.373
6647;Mind Brain and Education;1751-2271;1.182
993;Social Issues and Policy Review;1751-2395;4.214
2719;Expert Review of Clinical Pharmacology;1751-2433;2.488
4107;Journal of Digestive Diseases;1751-2972;1.887
6788;Journal of Biological Dynamics;1751-3758;1.147
8758;Proceedings of the Institution of Civil Engineers-Energy;1751-4223;0.744
3645;Current Opinion in Supportive and Palliative Care;1751-4258;2.070
8913;European Journal of Industrial Engineering;1751-5254;0.718
2903;International Journal of Laboratory Hematology;1751-5521;2.401
